,alphabet,x,y
825,isle,139.813826,35.710776
826,isle,139.734573,35.590127
827,isle,139.760009,35.730951
828,isle,139.778737,35.704838
829,isle,139.799545,35.684902
830,isle,139.809992,35.694575
831,isle,139.715690,35.696362
832,isle,139.812885,35.672329
833,isle,139.736031,35.596150
834,isle,139.727895,35.772314
835,isle,139.813826,35.710776
836,isle,139.806674,35.700689
837,isle,139.800518,35.717903
838,isle,139.822238,35.724450
839,isle,139.763046,35.691985
840,isle,139.790857,35.716008
841,isle,139.780719,35.682679
842,isle,139.756877,35.640807
843,isle,139.693020,35.562929
844,isle,139.775750,35.738852
845,isle,139.811869,35.683189
846,isle,139.833407,35.709118
847,isle,139.810001,35.700940
848,isle,139.810001,35.700940
849,isle,139.769456,35.736172
850,isle,139.794076,35.697613
851,isle,139.803510,35.703686
852,isle,139.759073,35.696491
853,isle,139.775309,35.705188
854,isle,139.807187,35.694486
855,isle,139.796221,35.693896
856,isle,139.752761,35.718795
857,isle,139.801459,35.671002
858,isle,139.822238,35.724450
859,isle,139.804232,35.694484
860,isle,139.693877,35.699484
861,isle,139.776243,35.726670
862,isle,139.737643,35.761110
863,isle,139.781233,35.730514
864,isle,139.817604,35.725348
865,isle,139.809320,35.713316
866,isle,139.729647,35.587281
867,isle,139.776403,35.676560
868,isle,139.616587,35.673599
869,isle,139.720232,35.741018
870,isle,139.783884,35.722014
871,isle,139.809320,35.713316
872,isle,139.689776,35.659975
873,isle,139.806674,35.700689
874,isle,139.734274,35.672213
875,isle,139.778437,35.703252
876,isle,139.812169,35.704433
877,isle,139.785780,35.703663
878,isle,139.789858,35.694107
879,isle,139.804232,35.694484
880,isle,139.669765,35.649631
881,isle,139.822238,35.724450
882,isle,139.721899,35.743136
883,isle,139.781365,35.697364
884,isle,139.662141,35.681907
885,isle,139.730214,35.713920
886,isle,139.728186,35.739413
887,isle,139.734573,35.590127
888,isle,139.748747,35.614948
889,isle,139.675963,35.695283
890,isle,139.749004,35.710574
891,isle,139.745247,35.620349
892,isle,139.749308,35.627402
893,isle,139.712248,35.689556
894,αξία,139.751478,35.725503
895,αξία,139.725522,35.700392
896,αξία,139.709124,35.738348
897,αξία,139.635150,35.633582
898,αξία,139.752761,35.718795
899,αξία,139.599966,35.709055
900,αξία,139.643877,35.611576
901,αξία,139.671455,35.655687
902,αξία,139.735594,35.655129
903,αξία,139.720188,35.646420
904,αξία,139.633194,35.706489
905,αξία,139.709124,35.738348
906,αξία,139.642273,35.632243
907,αξία,139.710893,35.679251
908,αξία,139.868408,35.687975
909,αξία,139.701012,35.593618
910,αξία,139.790857,35.716008
911,αξία,139.728190,35.670737
912,αξία,139.788180,35.688027
913,αξία,139.831974,35.675323
914,αξία,139.831974,35.675323
